Year,Average CO monthly,Average Ozone,PM10,PM25,NO2
,5.9,67.53333333,17.08333333,54.9,34.83333333
,6.64516129,70.51612903,13.27272727,52.74193548,35
,6.548387097,54.74193548,13.9,50.93548387,35.35483871
,6.8,45.86666667,16.7,47.66666667,31.6
,7.64516129,22.11290323,31.0952381,37.21428571,42.03225806
,8.433333333,31.6,15.2,47.76666667,40.5
,8.64516129,19.27419355,26.48780488,46.53658537,49.69354839
2018,7.5,33.5,17.4,44.5,47.5
,10.71428571,33.35714286,14.4,55.75,47.25
,9.064516129,41.25806452,12.66666667,45.48387097,43.19354839
,9.5,50.56666667,11.88888889,45.93333333,41.43333333
,8.096774194,62.67741935,16.75,53.96774194,43.5483871
,5.666666667,62,15.1,51.1,36.5
,6.193548387,80.96774194,18.72727273,54.29032258,32.5483871
,6.064516129,65.4516129,18.4,56.4516129,31.25806452
,6.966666667,39.36666667,14.3,42.1,28.26666667
,6.870967742,20.0483871,28.09756098,33.80487805,37.29032258
,8.133333333,30.63333333,9.6,43.43333333,34.2
,10.09677419,20.91935484,26.23809524,42.71428571,46.80645161
2019,8,31.5,12.5,47,41.5
,8.607142857,38.39285714,15.28571429,50.35714286,48.60714286
,8.225806452,46.80645161,13.09090909,50.51612903,47.5483871
,7.7,46.4,14.9,43.5,41.16666667
,7.35483871,46.61290323,13.44444444,49.03225806,35.70967742
,6.366666667,59,14.8,48.1,34.5
,6.838709677,86.09677419,17.54545455,55.96774194,34.22580645
,8.548387097,60.12903226,15.1,47.29032258,33.80645161
,7.066666667,48.7,14.1,42.43333333,35.6
,6.806451613,20.87096774,28.92682927,32.04878049,36.83870968
,8.533333333,30.66666667,13.125,45.1,38.86666667
,9.419354839,19.33870968,25.82926829,41.41463415,44.40322581
