Year,Average CO monthly,Average Ozone,PM10,PM25,NO2,,Hospitlizations Count
,9.466666667,89.36666667,34.2,62.8333333,38.8,,2441
,10.25806452,100.3548387,33.5,62.7741936,41.41935484,,2068
,9.903225806,85.87096774,39,57.9354839,41.29032258,,2201
,9.133333333,61.73333333,23.4,49.8,38.33333333,,3664
,9.225806452,21.88709677,32.0810811,38.6216216,39.25806452,,3910
,12.3,30.66666667,19,49.6,40.6,,3335
,9.709677419,19.80645161,29.3823529,58.1470588,51.98387097,,3639
2011,19,34.5,23.8,100,55.5,,3618
,14.32142857,38.78571429,21.8,70,51.35714286,,3365
,9.322580645,42.74193548,21.2,52.3225807,42,,3771
,9.3,48.53333333,23.6,54.4,46.93333333,,3251
,9.032258065,58.48387097,38.4,52.0645161,42.32258065,,3784
,8.333333333,83.26666667,36.2,63,41.96666667,,2422
,8.129032258,107.8387097,48.2,71.4193548,40.64516129,,1990
,8.870967742,61.16129032,26.1666667,54.6129032,37.38709677,,1990
,10.56666667,45.2,30.8,48.8333333,37.53333333,,2941
,9.580645161,22.24193548,35.6388889,44.7222222,43,,3521
,13.66666667,33.2,20.8,58.6,47.16666667,,3651
,13.4516129,20.79032258,26.4722222,53.8333333,51.96774194,,3521
2012,9,29,15.2,60.5,38,,3130
,10.03571429,33.78571429,27.6,55.4642857,42.64285714,,2833
,9.580645161,42.09677419,35.4,51.4516129,44.25806452,,3436
,8.033333333,54.36666667,33,41.6333333,38.16666667,,3387
,11.67741935,56.19354839,31.25,49.1290323,43.29032258,,3252
,8,72.96666667,30.2,48.5,34.46666667,,2304
,9,95.41935484,40.5,58.4516129,35.03225806,,2046
,11.61290323,79.48387097,40.8,53.516129,39.51612903,,2383
,11.53333333,51.3,27.4,45.0666667,36.23333333,,3561
,12.22580645,23.17741935,32.9142857,42.0857143,40.22580645,,4041
,11.13333333,28.36666667,27.25,54.2,39.2,,3137
,13.96774194,21.20967742,26.3611111,56.4166667,51.96774194,,3949
2013,10,33,22.8,75.5,23.5,,3620
,11.96428571,35.07142857,18,59.9285714,41.14285714,,2742
,10.77419355,41.35483871,13.2,37.0645161,37.5483871,,3184
,10.23333333,52,23.8,41.3333333,45.2,,3188
,9.677419355,57.29032258,34.8,46.7419355,44.16129032,,3418
,10,68.5,21.4,51.7333333,37.43333333,,2286
,9,71.06451613,21,54.1612903,31.03225806,,1920
,8.870967742,56.90322581,16,50.483871,36.16129032,,1914
,8.633333333,47.06666667,13.3333333,44.4,34.03333333,,3089
